id,country,city,line,start_year,end_year,length,tunnel,stations,cost,currency,real_cost_USD
7136,CA,Vancouver,Broadway,2020,2025,5.7,5,6,2830,CAD,2377.2
7137,CA,Toronto,Vaughan,2009,2017,8.6,8.6,6,3200,CAD,2592
7138,CA,Toronto,Scarborough,2020,2030,7.8,7.8,3,5500,CAD,4620
7139,CA,Toronto,Ontario,2020,2030,15.5,8.8,15,8573,CAD,7201.32
7144,CA,Toronto,Yonge to Richmond Hill,2020,2030,7.4,7.4,6,5600,CAD,4704
7145,NL,Amsterdam,North-South,2003,2018,9.7,7.1,8,3100,EUR,4030
7146,CA,Montreal,Blue Line extension,2020,2026,5.8,5.8,5,4500,CAD,3780
7147,US,Seattle,U-Link,2009,2016,5.1,5.1,2,1756,USD,1756
7152,US,Los Angeles,Purple Phase 3,2020,2027,4.2,4.2,2,3600,USD,3600
7153,US,Los Angeles,Purple Phase 2,2018,2026,4.2,4.2,2,2400,USD,2400
7154,US,Los Angeles,Purple Phase 1,2014,2023,6.3,6.3,3,2800,USD,2800
7155,US,Los Angeles,Regional Connector,2014,2022,3.1,3.1,3,1756,USD,1756
7160,US,San Francisco,Central Subway,2010,2021,2.7,2.7,4,1670,USD,1670
7161,US,Boston,Green Line Extension,2012,2021,7.6,0,7,2289,USD,2289
7162,CA,Ottawa,Confederation,2013,2019,12.5,2.5,13,2100,CAD,1743
7163,US,San Jose,BART,2022,2030,9.6,8,4,6900,USD,6900
7168,BG,Sofia,Line 1 northern,2009,2012,5.1,3.1,4,407,BGN,687.83
7169,BG,Sofia,Line 1 southern,2013,2015,3,3,3,44,EUR,146.08
7170,BG,Sofia,Line 2,2008,2012,17,15.3,11,952,EUR,3160.64
7171,BG,Sofia,Line 2 extension,2012,2016,1.3,1.3,1,21,EUR,69.72
7176,BG,Sofia,Line 3,2016,2021,12,12,12,500,EUR,1660
7178,PL,Warsaw,Line 2,2010,2015,6.5,6.5,7,5900,PLN,3286.3
7179,PL,Warsaw,Line 2 extension to Trocka,2015,2019,3.1,3.1,3,1070,PLN,616.32
7184,PL,Warsaw,Line 2 extenision to KJ,2015,2020,3.4,3.4,3,1148,PLN,661.248
7185,PL,Warsaw,Line 2 extension to Bródno,2018,2022,4,4,3,1400,PLN,799.4
7186,RO,Bucharest,Line 5,2014,2019,6.9,6.9,10,3122,RON,1860.712
7187,RU,Moscow,Line 11,2017,2023,66.7,66.7,31,501000,RUB,20040
7193,RU,Nizhniy Novgorod,Line 2 extension,2015,2018,2.5,2.5,1,11000,RUB,451
7194,RU,Saint Petersburg,Line 3 extension,2014,2018,5,5,2,37000,RUB,1517
